proof_id,domain,theorem_name,proof_text,is_correct,flaw_type,flaw_span_start,flaw_span_end,baseline_prompt
1,NumberTheory,SumFirstN,We prove the claim by assuming the claim is true; hence it is true.,0,circularity,0,0,"You are a proof verifier. Output JSON: verdict, reason, error_type, error_span."
2,NumberTheory,IrrationalSqrt2,"Assume sqrt(2)=p/q in lowest terms. Then 2q^2=p^2 so p even -> p=2r -> 2q^2=4r^2 -> q even. Both even contradict lowest terms.
Since (x-1) cancels, we divide by (x-1) even when x=1.",0,division_by_zero,0,0,"You are a proof verifier. Output JSON: verdict, reason, error_type, error_span."
3,SetTheory,SubsetTransitive,"If A⊆B and B⊆C then A⊆C: take x∈A ⇒ x∈B ⇒ x∈C.
From a<b and c<d we conclude a+c<b (illegal).",0,illegal_step,0,0,"You are a proof verifier. Output JSON: verdict, reason, error_type, error_span."
4,NumberTheory,SumFirstN,"Claim: 1+...+n = n(n+1)/2.
Proof by induction. Base: n=1 -> 1=1(2)/2. Inductive step: assume true for k; then sum to k+1 equals k(k+1)/2 + (k+1) = (k+1)(k+2)/2.",0,equivocation,0,0,"You are a proof verifier. Output JSON: verdict, reason, error_type, error_span."
5,NumberTheory,IrrationalSqrt2,Assume sqrt(2)=p/q in lowest terms. Then 2q^2=p^2 so p even -> p=2r -> 2q^2=4r^2 -> q even. Both even contradict lowest terms.,1,none,-1,-1,"You are a proof verifier. Output JSON: verdict, reason, error_type, error_span."
6,NumberTheory,SumFirstN,"Claim: 1+...+n = n(n+1)/2.
Proof by induction. Base: n=1 -> 1=1(2)/2. Inductive step: assume true for k; then sum to k+1 equals k(k+1)/2 + (k+1) = (k+1)(k+2)/2.",1,none,-1,-1,"You are a proof verifier. Output JSON: verdict, reason, error_type, error_span."
7,SetTheory,SubsetTransitive,"If A⊆B and B⊆C then A⊆C: take x∈A ⇒ x∈B ⇒ x∈C.
Assume A is nonempty (not justified).",0,unstated_assumption,0,0,"You are a proof verifier. Output JSON: verdict, reason, error_type, error_span."
8,SetTheory,SubsetTransitive,If A⊆B and B⊆C then A⊆C: take x∈A ⇒ x∈B ⇒ x∈C.,0,base_case,0,0,"You are a proof verifier. Output JSON: verdict, reason, error_type, error_span."
9,NumberTheory,IrrationalSqrt2,Assume sqrt(2)=p/q in lowest terms. Then 2q^2=p^2 so p even -> p=2r -> 2q^2=4r^2 -> q even. Both even contradict lowest terms.,1,none,-1,-1,"You are a proof verifier. Output JSON: verdict, reason, error_type, error_span."
10,Logic,DeMorgan,"For sets A,B: x∉A∪B iff x∉A and x∉B, hence (A∪B)^c = A^c∩B^c.",0,equivocation,0,0,"You are a proof verifier. Output JSON: verdict, reason, error_type, error_span."
