proof_id,domain,theorem_name,verdict,location,explanation,score
1,NumberTheory,SumFirstN,Invalid,0-0,Detected flaw type: circularity. The error lies between positions 0-0.,0.2
2,NumberTheory,IrrationalSqrt2,Invalid,0-0,Detected flaw type: division_by_zero. The error lies between positions 0-0.,0.2
3,SetTheory,SubsetTransitive,Invalid,0-0,Detected flaw type: illegal_step. The error lies between positions 0-0.,0.2
4,NumberTheory,SumFirstN,Invalid,0-0,Detected flaw type: equivocation. The error lies between positions 0-0.,0.2
5,NumberTheory,IrrationalSqrt2,Valid,N/A,All steps are logically consistent with the theorem.,1.0
6,NumberTheory,SumFirstN,Valid,N/A,All steps are logically consistent with the theorem.,1.0
7,SetTheory,SubsetTransitive,Invalid,0-0,Detected flaw type: unstated_assumption. The error lies between positions 0-0.,0.2
8,SetTheory,SubsetTransitive,Invalid,0-0,Detected flaw type: base_case. The error lies between positions 0-0.,0.2
9,NumberTheory,IrrationalSqrt2,Valid,N/A,All steps are logically consistent with the theorem.,1.0
10,Logic,DeMorgan,Invalid,0-0,Detected flaw type: equivocation. The error lies between positions 0-0.,0.2
11,Logic,DeMorgan,Invalid,0-0,Detected flaw type: illegal_step. The error lies between positions 0-0.,0.2
12,NumberTheory,SumFirstN,Invalid,0-0,Detected flaw type: misuse_quantifier. The error lies between positions 0-0.,0.2
13,SetTheory,SubsetTransitive,Invalid,0-0,Detected flaw type: base_case. The error lies between positions 0-0.,0.2
14,Calculus,ContinuityLinear,Valid,N/A,All steps are logically consistent with the theorem.,1.0
15,Calculus,ContinuityLinear,Invalid,0-0,Detected flaw type: circularity. The error lies between positions 0-0.,0.2
16,SetTheory,SubsetTransitive,Valid,N/A,All steps are logically consistent with the theorem.,1.0
17,Logic,DeMorgan,Valid,N/A,All steps are logically consistent with the theorem.,1.0
18,NumberTheory,SumFirstN,Invalid,0-0,Detected flaw type: equivocation. The error lies between positions 0-0.,0.2
19,Logic,DeMorgan,Valid,N/A,All steps are logically consistent with the theorem.,1.0
20,NumberTheory,IrrationalSqrt2,Valid,N/A,All steps are logically consistent with the theorem.,1.0
21,Calculus,ContinuityLinear,Invalid,0-0,Detected flaw type: misuse_quantifier. The error lies between positions 0-0.,0.2
22,NumberTheory,IrrationalSqrt2,Invalid,0-0,Detected flaw type: equivocation. The error lies between positions 0-0.,0.2
23,Logic,DeMorgan,Valid,N/A,All steps are logically consistent with the theorem.,1.0
24,NumberTheory,SumFirstN,Valid,N/A,All steps are logically consistent with the theorem.,1.0
25,NumberTheory,IrrationalSqrt2,Valid,N/A,All steps are logically consistent with the theorem.,1.0
26,NumberTheory,IrrationalSqrt2,Invalid,0-0,Detected flaw type: illegal_step. The error lies between positions 0-0.,0.2
27,Logic,DeMorgan,Valid,N/A,All steps are logically consistent with the theorem.,1.0
28,SetTheory,SubsetTransitive,Invalid,0-0,Detected flaw type: misuse_quantifier. The error lies between positions 0-0.,0.2
29,NumberTheory,SumFirstN,Invalid,0-0,Detected flaw type: base_case. The error lies between positions 0-0.,0.2
30,Logic,DeMorgan,Invalid,0-0,Detected flaw type: division_by_zero. The error lies between positions 0-0.,0.2
31,NumberTheory,IrrationalSqrt2,Valid,N/A,All steps are logically consistent with the theorem.,1.0
32,SetTheory,SubsetTransitive,Valid,N/A,All steps are logically consistent with the theorem.,1.0
33,Logic,DeMorgan,Invalid,0-0,Detected flaw type: unstated_assumption. The error lies between positions 0-0.,0.2
34,Calculus,ContinuityLinear,Valid,N/A,All steps are logically consistent with the theorem.,1.0
35,Calculus,ContinuityLinear,Invalid,0-0,Detected flaw type: non_sequitur. The error lies between positions 0-0.,0.2
36,NumberTheory,IrrationalSqrt2,Valid,N/A,All steps are logically consistent with the theorem.,1.0
37,SetTheory,SubsetTransitive,Invalid,0-0,Detected flaw type: illegal_step. The error lies between positions 0-0.,0.2
38,SetTheory,SubsetTransitive,Invalid,0-0,Detected flaw type: equivocation. The error lies between positions 0-0.,0.2
39,NumberTheory,IrrationalSqrt2,Valid,N/A,All steps are logically consistent with the theorem.,1.0
40,NumberTheory,SumFirstN,Valid,N/A,All steps are logically consistent with the theorem.,1.0
41,NumberTheory,SumFirstN,Invalid,0-0,Detected flaw type: non_sequitur. The error lies between positions 0-0.,0.2
42,Calculus,ContinuityLinear,Valid,N/A,All steps are logically consistent with the theorem.,1.0
43,Calculus,ContinuityLinear,Invalid,0-0,Detected flaw type: unstated_assumption. The error lies between positions 0-0.,0.2
44,SetTheory,SubsetTransitive,Invalid,0-0,Detected flaw type: base_case. The error lies between positions 0-0.,0.2
45,NumberTheory,SumFirstN,Valid,N/A,All steps are logically consistent with the theorem.,1.0
46,SetTheory,SubsetTransitive,Valid,N/A,All steps are logically consistent with the theorem.,1.0
47,Logic,DeMorgan,Invalid,0-0,Detected flaw type: illegal_step. The error lies between positions 0-0.,0.2
48,NumberTheory,IrrationalSqrt2,Invalid,0-0,Detected flaw type: circularity. The error lies between positions 0-0.,0.2
49,SetTheory,SubsetTransitive,Valid,N/A,All steps are logically consistent with the theorem.,1.0
50,SetTheory,SubsetTransitive,Valid,N/A,All steps are logically consistent with the theorem.,1.0
51,Logic,DeMorgan,Valid,N/A,All steps are logically consistent with the theorem.,1.0
52,SetTheory,SubsetTransitive,Valid,N/A,All steps are logically consistent with the theorem.,1.0
53,NumberTheory,IrrationalSqrt2,Invalid,0-0,Detected flaw type: non_sequitur. The error lies between positions 0-0.,0.2
54,SetTheory,SubsetTransitive,Valid,N/A,All steps are logically consistent with the theorem.,1.0
55,SetTheory,SubsetTransitive,Valid,N/A,All steps are logically consistent with the theorem.,1.0
56,SetTheory,SubsetTransitive,Invalid,0-0,Detected flaw type: base_case. The error lies between positions 0-0.,0.2
57,NumberTheory,SumFirstN,Valid,N/A,All steps are logically consistent with the theorem.,1.0
58,Logic,DeMorgan,Invalid,0-0,Detected flaw type: equivocation. The error lies between positions 0-0.,0.2
59,SetTheory,SubsetTransitive,Valid,N/A,All steps are logically consistent with the theorem.,1.0
60,NumberTheory,SumFirstN,Valid,N/A,All steps are logically consistent with the theorem.,1.0
61,NumberTheory,SumFirstN,Valid,N/A,All steps are logically consistent with the theorem.,1.0
62,SetTheory,SubsetTransitive,Valid,N/A,All steps are logically consistent with the theorem.,1.0
63,NumberTheory,IrrationalSqrt2,Valid,N/A,All steps are logically consistent with the theorem.,1.0
64,SetTheory,SubsetTransitive,Invalid,0-0,Detected flaw type: illegal_step. The error lies between positions 0-0.,0.2
65,NumberTheory,IrrationalSqrt2,Valid,N/A,All steps are logically consistent with the theorem.,1.0
66,NumberTheory,IrrationalSqrt2,Valid,N/A,All steps are logically consistent with the theorem.,1.0
67,Calculus,ContinuityLinear,Valid,N/A,All steps are logically consistent with the theorem.,1.0
68,Logic,DeMorgan,Invalid,0-0,Detected flaw type: unstated_assumption. The error lies between positions 0-0.,0.2
69,NumberTheory,SumFirstN,Invalid,0-0,Detected flaw type: division_by_zero. The error lies between positions 0-0.,0.2
70,Logic,DeMorgan,Invalid,0-0,Detected flaw type: equivocation. The error lies between positions 0-0.,0.2
71,SetTheory,SubsetTransitive,Invalid,0-0,Detected flaw type: division_by_zero. The error lies between positions 0-0.,0.2
72,NumberTheory,SumFirstN,Invalid,0-0,Detected flaw type: base_case. The error lies between positions 0-0.,0.2
73,Logic,DeMorgan,Invalid,0-0,Detected flaw type: equivocation. The error lies between positions 0-0.,0.2
74,Logic,DeMorgan,Valid,N/A,All steps are logically consistent with the theorem.,1.0
75,NumberTheory,IrrationalSqrt2,Valid,N/A,All steps are logically consistent with the theorem.,1.0
76,SetTheory,SubsetTransitive,Valid,N/A,All steps are logically consistent with the theorem.,1.0
77,NumberTheory,IrrationalSqrt2,Valid,N/A,All steps are logically consistent with the theorem.,1.0
78,Calculus,ContinuityLinear,Invalid,0-0,Detected flaw type: division_by_zero. The error lies between positions 0-0.,0.2
79,Calculus,ContinuityLinear,Invalid,0-0,Detected flaw type: illegal_step. The error lies between positions 0-0.,0.2
80,Calculus,ContinuityLinear,Valid,N/A,All steps are logically consistent with the theorem.,1.0
81,NumberTheory,SumFirstN,Valid,N/A,All steps are logically consistent with the theorem.,1.0
82,NumberTheory,SumFirstN,Invalid,0-0,Detected flaw type: misuse_quantifier. The error lies between positions 0-0.,0.2
83,NumberTheory,SumFirstN,Invalid,0-0,Detected flaw type: equivocation. The error lies between positions 0-0.,0.2
84,SetTheory,SubsetTransitive,Invalid,0-0,Detected flaw type: illegal_step. The error lies between positions 0-0.,0.2
85,NumberTheory,IrrationalSqrt2,Invalid,0-0,Detected flaw type: equivocation. The error lies between positions 0-0.,0.2
86,NumberTheory,SumFirstN,Invalid,0-0,Detected flaw type: division_by_zero. The error lies between positions 0-0.,0.2
87,NumberTheory,SumFirstN,Valid,N/A,All steps are logically consistent with the theorem.,1.0
88,SetTheory,SubsetTransitive,Valid,N/A,All steps are logically consistent with the theorem.,1.0
89,NumberTheory,SumFirstN,Valid,N/A,All steps are logically consistent with the theorem.,1.0
90,NumberTheory,IrrationalSqrt2,Invalid,0-0,Detected flaw type: unstated_assumption. The error lies between positions 0-0.,0.2
91,Calculus,ContinuityLinear,Invalid,0-0,Detected flaw type: illegal_step. The error lies between positions 0-0.,0.2
92,NumberTheory,SumFirstN,Invalid,0-0,Detected flaw type: base_case. The error lies between positions 0-0.,0.2
